"","stnr","z","x","y","NO"
"553",13870,1024,183411,6816805,TRUE
"554",13900,1055,168527,6815168,TRUE
"555",23500,521,180431,6790894,TRUE
"556",23540,822,174614,6803895,TRUE
"557",23550,965,174233,6805891,TRUE
"558",23560,754,170565,6805395,TRUE
"559",23720,489,153920,6793633,TRUE
"560",23800,517,144722,6802817,TRUE
"561",23850,864,135965,6804066,TRUE
"562",23870,910,137056,6803112,TRUE
"563",54670,945,128547,6802884,TRUE
"564",54710,956,130049,6802130,TRUE
"565",54730,1012,132105,6801902,TRUE
"566",54731,1010,132206,6801936,TRUE
"567",26594,25,230114,6631421,TRUE
"568",26852,65,231841,6633073,TRUE
"569",26860,61,231216,6632850,TRUE
"570",26862,15,231025,6632618,TRUE
"571",26864,25,230122,6633309,TRUE
"572",26872,25,228770,6633721,TRUE
"573",26890,3,230414,6631902,TRUE
"574",26898,15,226970,6634020,TRUE
"575",26900,8,226155,6634058,TRUE
"576",26920,214,229485,6630606,TRUE
"577",26932,100,231116,6630052,TRUE
"578",26934,5,233957,6628742,TRUE
"579",27010,193,227074,6629441,TRUE
"580",27015,230,227119,6630131,TRUE
"581",28120,430,214553,6611140,TRUE
"582",28340,151,197419,6620963,TRUE
"583",28360,171,198682,6626073,TRUE
"584",28370,168,198775,6626032,TRUE
"585",28380,170,197738,6621832,TRUE
"586",30220,430,199439,6598466,TRUE
"587",19200,462,248803,6673959,TRUE
"588",19350,520,248833,6669276,TRUE
"589",19550,406,246600,6663843,TRUE
"590",20120,442,244465,6673309,TRUE
"591",20250,66,238571,6672842,TRUE
"592",20280,126,237229,6676458,TRUE
"593",20300,140,236287,6677610,TRUE
"594",20301,140,236419,6679445,TRUE
"595",20360,192,240501,6682896,TRUE
"596",20361,190,240243,6683495,TRUE
"597",22150,134,236339,6684122,TRUE
"598",22360,157,229197,6700674,TRUE
"599",22600,167,226848,6723019,TRUE
"600",22610,160,225344,6724375,TRUE
"601",24100,77,232186,6676701,TRUE
"602",24130,180,235505,6690709,TRUE
"603",24210,140,219219,6688754,TRUE
"604",24230,210,214362,6687364,TRUE
"605",24350,135,224449,6667505,TRUE
"606",19663,340,240132,6656551,TRUE
"607",24710,142,202790,6706244,TRUE
"608",24770,149,201091,6707134,TRUE
"609",26450,890,179586,6706399,TRUE
"610",24830,369,180334,6726854,TRUE
"611",24860,164,176852,6729036,TRUE
"612",24870,165,178673,6728872,TRUE
"613",24880,167,178073,6729127,TRUE
"614",24890,166,178700,6728926,TRUE
"615",23300,830,180071,6756436,TRUE
"616",23320,835,175005,6759057,TRUE
"617",24960,542,170084,6746765,TRUE
"618",23390,890,165375,6765598,TRUE
"619",23400,861,165584,6765500,TRUE
"620",25080,608,152855,6763811,TRUE
"621",25100,648,148951,6765686,TRUE
"622",25110,604,152274,6763621,TRUE
"623",25112,807,148358,6765767,TRUE
"624",25160,1026,131903,6774483,TRUE
"625",25165,1130,130005,6779438,TRUE
"626",25240,800,134708,6746255,TRUE
"627",25260,863,133222,6745768,TRUE
"628",25320,720,148177,6739847,TRUE
"629",25540,969,118682,6747270,TRUE
"630",25541,1020,118302,6747524,TRUE
"631",25580,670,134476,6734874,TRUE
"632",25590,810,127184,6728312,TRUE
"633",25600,794,127653,6730226,TRUE
